,aclose
2015-06-05,118.9381
2015-06-12,118.6468
2015-06-19,118.6468
2015-06-26,117.5597
2015-07-02,117.2968
2015-07-10,118.6184
2015-07-17,122.5688
2015-07-24,113.5028
2015-07-31,115.0943
2015-08-07,111.1297
2015-08-14,111.581
2015-08-21,106.6378
2015-08-28,106.0145
2015-09-04,102.9483
2015-09-11,105.5775
2015-09-18,103.5286
2015-09-25,104.1805
2015-10-02,103.5787
2015-10-09,109.1739
2015-10-16,107.7411
2015-10-23,103.6504
2015-10-30,100.3549
2015-11-06,99.9752
2015-11-13,95.2747
2015-11-20,100.156
2015-11-27,100.127
2015-12-04,101.5516
2015-12-11,97.314
2015-12-18,97.5526
2015-12-24,99.9752
2015-12-31,99.5196
2016-01-08,95.1879
2016-01-15,94.0309
2016-01-22,88.5856
2016-01-29,90.2416
2016-02-05,92.9751
2016-02-12,88.4259
2016-02-19,97.2217
2016-02-26,96.4547
2016-03-04,100.67
2016-03-11,104.0013
2016-03-18,107.4568
2016-03-24,108.085
2016-04-01,111.4237
2016-04-08,109.1078
2016-04-15,110.8392
2016-04-22,108.4868
2016-04-29,106.6166
2016-05-06,108.6257
2016-05-13,108.9428
2016-05-20,108.5962
2016-05-27,112.7188
2016-06-03,112.7556
2016-06-10,112.3721
2016-06-17,112.0919
2016-06-24,108.1094
2016-07-01,112.3574
2016-07-08,113.9135
2016-07-15,117.837
2016-07-22,119.5258
2016-07-29,118.4565
2016-08-05,120.5804
2016-08-12,120.4693
2016-08-19,119.0485
2016-08-26,117.769
2016-09-02,118.684
2016-09-09,115.8126
2016-09-16,114.4365
2016-09-23,115.2845
2016-09-30,118.1633
2016-10-07,115.7978
2016-10-14,114.8902
2016-10-21,111.3048
2016-10-28,113.5215
2016-11-04,113.3876
2016-11-11,121.0458
2016-11-18,120.3853
2016-11-25,122.4494
2016-12-02,120.1076
2016-12-09,124.9863
2016-12-16,125.1439
2016-12-23,125.1289
2016-12-30,124.5885
2017-01-06,127.2456
2017-01-13,125.6018
2017-01-20,128.0111
2017-01-27,133.0775
2017-02-03,131.9667
2017-02-10,135.1791
2017-02-17,136.6846
2017-02-24,137.1991
2017-03-03,136.2156
2017-03-10,134.5361
2017-03-17,132.8868
2017-03-24,131.5099
2017-03-31,131.7444
2017-04-07,130.2313
2017-04-13,128.2568
2017-04-21,121.3344
2017-04-28,121.2663
2017-05-05,117.302
2017-05-12,114.8765
2017-05-19,116.1065
2017-05-26,116.4961
2017-06-02,116.1599
2017-06-09,117.726
2017-06-16,118.7039
2017-06-23,117.7337
2017-06-30,117.5198
2017-07-07,116.8399
2017-07-14,117.833
2017-07-21,112.3631
2017-07-28,110.2316
2017-08-04,110.8963
2017-08-11,109.5037
2017-08-18,107.8515
2017-08-25,110.9705
2017-09-01,111.233
2017-09-08,109.9746
2017-09-15,111.8043
2017-09-22,112.0436
2017-09-29,112.005
2017-10-06,113.0859
2017-10-13,113.5645
2017-10-20,125.1217
2017-10-27,118.6444
2017-11-03,117.0232
2017-11-10,116.3041
2017-11-17,116.156
2017-11-24,118.3938
2017-12-01,120.6706
2017-12-08,120.7096
2017-12-15,118.9084
2017-12-22,118.9084
2017-12-29,119.6258
2018-01-05,126.6979
2018-01-12,127.2047
2018-01-19,126.6043
2018-01-26,130.4796
2018-02-02,124.0
2018-02-09,117.7618
2018-02-16,123.0155
2018-02-23,122.4956
2018-03-02,121.6843
2018-03-09,125.4808
2018-03-16,126.2291
2018-03-23,117.2735
2018-03-29,120.8494
2018-04-06,118.5967
2018-04-13,123.4329
2018-04-20,114.1308
2018-04-27,115.3753
2018-05-04,113.351
2018-05-11,114.782
2018-05-18,114.7342
2018-05-25,114.3839
2018-06-01,113.0381
2018-06-08,116.3747
2018-06-15,115.7774
2018-06-22,112.5045
2018-06-29,111.2464
2018-07-06,113.4601
2018-07-13,116.1836
2018-07-20,116.5419
2018-07-27,115.5863
2018-08-03,117.6169
2018-08-10,116.3005
2018-08-17,117.5723
2018-08-24,117.5562
2018-08-31,117.9104
2018-09-07,117.0813
2018-09-14,119.3996
2018-09-21,121.8306
2018-09-28,121.7179
2018-10-05,119.9631
2018-10-12,113.3785
2018-10-19,103.9202
2018-10-26,100.4509
2018-11-02,93.1096
2018-11-09,100.7101
2018-11-16,99.1041
2018-11-23,95.5335
2018-11-30,101.3052
2018-12-07,97.2862
2018-12-14,97.7427
2018-12-21,90.4385
2018-12-28,92.1423
2019-01-04,95.6395
2019-01-11,99.0145
2019-01-18,100.9383
2019-01-25,109.2126
2019-02-01,109.3186
2019-02-08,110.2856
2019-02-15,113.8487
2019-02-22,114.855
2019-03-01,114.8138
2019-03-08,111.4238
2019-03-15,115.0035
2019-03-22,115.02
2019-03-29,116.3809
2019-04-05,118.179
2019-04-12,119.0615
2019-04-18,115.7458
2019-04-26,115.0117
2019-05-03,115.6798
2019-05-10,112.9495
2019-05-17,112.1148
2019-05-24,110.4121
2019-05-31,105.9966
2019-06-07,111.2718
2019-06-14,112.8076
2019-06-21,116.1881
2019-06-28,115.103
2019-07-05,118.0077
2019-07-12,119.1429
2019-07-19,124.9356
2019-07-26,126.3378
2019-08-02,122.9073
2019-08-09,114.9395
2019-08-16,112.9384
2019-08-23,109.4006
2019-08-30,114.4329
2019-09-06,118.6883
2019-09-13,121.3058
2019-09-20,119.7944
2019-09-27,120.9427
2019-10-04,120.7316
2019-10-11,120.5374
2019-10-18,113.217
2019-10-25,114.3569
2019-11-01,114.4329
2019-11-08,117.5561
2019-11-15,114.8139
2019-11-22,114.7626
2019-11-29,114.8566
2019-12-06,113.8059
2019-12-13,114.6516
2019-12-20,115.8305
2019-12-27,115.5571
2020-01-03,114.7626
2020-01-10,116.7702
2020-01-17,118.1541
2020-01-24,120.0762
2020-01-31,122.7842
2020-02-07,132.4375
2020-02-14,130.098
2020-02-21,129.3555
2020-02-28,112.3573
2020-03-06,110.2682
2020-03-13,93.1923
2020-03-20,82.3493
2020-03-27,93.2613
2020-04-03,91.8024
2020-04-09,104.8899
2020-04-17,103.6985
2020-04-24,107.6697
2020-05-01,105.2093
2020-05-08,107.6038
2020-05-15,102.3456
2020-05-22,103.5792
2020-05-29,109.2748
2020-06-05,115.5391
2020-06-12,106.6589
2020-06-19,107.1488
2020-06-26,102.5294
2020-07-02,104.7254
2020-07-10,103.5442
2020-07-17,109.4586
2020-07-24,110.0535
2020-07-31,107.56
2020-08-07,110.7534
2020-08-14,111.0282
2020-08-21,109.158
2020-08-28,110.8509
2020-09-04,108.3958
2020-09-11,107.6513
2020-09-18,108.8035
2020-09-25,105.4267
2020-10-02,106.8625
2020-10-09,113.2617
2020-10-16,111.6131
2020-10-23,102.8121
2020-10-30,98.9655
2020-11-06,101.0749
2020-11-13,105.0266
2020-11-20,105.1075
2020-11-27,111.7677
2020-12-04,114.3294
2020-12-11,111.6958
2020-12-18,113.116
2020-12-24,112.0733
2020-12-31,113.1429
